Name,USD Raised,Month,Token Sale Price,Current Token Price,Token Return,ETH Return,BTC Return,Token / ETH Return,Token / BTC Return,Token difference,Diff days
Flio,"4,721,733.48",Nov-17,0.075,0.033,0.44,0.7,0.9,0.63,0.49,-0.042,306.6262313
Re,"4,532,921.25",Aug-17,0.262,0.114,0.44,0.83,1.65,0.53,0.26,-0.148,398.6262313
Ecobit,"4,500,000.00",Jun-17,0.01,0.019,1.83,0.8,2.93,2.3,0.62,0.009,459.6262313
Dent,"4,386,168.09",Jul-17,0,0.003,6.53,1.41,2.71,4.63,2.41,0.003,429.6262313
Quantum Resistant Ledger,"4,160,000.00",May-17,0.107,0.347,3.25,1.52,2.96,2.15,1.1,0.24,490.6262313
Decent,"4,126,300.00",Nov-16,0.107,0.188,1.75,26.49,10.17,0.07,0.17,0.081,671.6262313
Obsidian,"4,073,497.39",Aug-17,0.204,0.029,0.14,0.87,1.65,0.16,0.09,-0.175,398.6262313
Investfeed,"4,047,928.84",Aug-17,0.021,0.015,0.73,1.07,2.14,0.68,0.34,-0.006,398.6262313
Auctus,"4,029,663.48",Apr-18,0.303,0.063,0.21,0.48,0.81,0.44,0.26,-0.24,155.6262313
ALIS,"3,842,393.67",Sep-17,0.102,0.065,0.64,0.99,1.74,0.65,0.37,-0.037,367.6262313
Antshares,"3,758,871.00",Sep-16,0.188,21.605,114.96,24.94,11.77,4.61,9.77,21.417,732.6262313
NEO,"3,758,871.00",Sep-16,0.188,37.021,196.98,24.94,11.77,7.9,16.74,36.833,732.6262313
Ethersportz,"3,500,000.00",Jan-18,0.5,0.059,0.12,0.28,0.63,0.42,0.19,-0.441,245.6262313
chainium,"3,421,054.60",Apr-18,0.05,0.017,0.34,0.76,1.06,0.45,0.32,-0.033,155.6262313
Lunyr,"3,400,000.00",Apr-17,1.612,3.584,2.22,5.46,5.65,0.41,0.39,1.972,520.6262313
Coss,"3,168,712.61",Sep-17,0.04,0.065,1.64,0.97,1.71,1.69,0.96,0.025,367.6262313
MyBit,"3,035,999.88",Aug-17,1.984,0.022,0.01,0.95,1.65,0.01,0.01,-1.962,398.6262313
EncryptoTel,"3,000,000.00",May-17,0.084,0.021,0.25,3.22,4.05,0.08,0.06,-0.063,490.6262313
Skincoin,"3,000,000.00",Jul-17,0.034,0.007,0.22,1.32,2.71,0.16,0.08,-0.027,429.6262313
The Divi Project,"2,902,871.53",Nov-17,0.564,0.792,1.4,0.7,0.9,2,1.56,0.228,306.6262313
Melonport,"2,900,000.00",Feb-17,5.8,8.681,1.5,22.33,7.04,0.07,0.21,2.881,579.6262313
Genesis Vision,"2,836,724.00",Nov-17,0.761,6.659,8.75,0.86,0.99,10.13,8.85,5.898,306.6262313
Lykke,"2,800,000.00",Oct-16,0.056,0.06,1.07,23.9,11.73,0.04,0.09,0.004,702.6262313
Edgeless,"2,700,000.00",Mar-17,0.039,0.265,6.76,6.67,6.45,1.01,1.05,0.226,551.6262313
Cryptoping,"2,608,052.16",Jun-17,0.29,0.064,0.22,0.89,2.77,0.25,0.08,-0.226,459.6262313
Travala,"2,576,881.37",Apr-18,0.097,0.075,0.78,0.48,0.81,1.63,0.95,-0.022,155.6262313
iDice,"2,500,000.00",Jun-17,,,,1.06,2.92,,,0,459.6262313
Privati,"2,376,998.36",Nov-17,2.245,1.314,0.59,0.87,0.92,0.67,0.64,-0.931,306.6262313
Bitquence,"2,266,875.76",Jul-17,0.033,1.374,41.61,1.83,3.75,22.74,11.1,1.341,429.6262313
daneel,"2,233,226.88",Mar-18,0.077,0.019,0.24,0.34,0.62,0.72,0.39,-0.058,186.6262313
Neblio,"2,102,280.67",Aug-17,0.178,2.468,13.9,0.97,1.72,14.36,8.06,2.29,398.6262313
Wings,"2,074,000.00",Jan-17,0.028,0.148,5.36,28.1,8.02,0.19,0.67,0.12,610.6262313
Komodo,"1,983,781.00",Nov-16,0.022,1.317,59.75,28.89,10.26,2.07,5.82,1.295,671.6262313
SunContract,"1,980,155.64",Aug-17,0.016,0.048,2.99,1.27,2.66,2.35,1.12,0.032,398.6262313
Digital Developers Fund,"1,963,332.00",Aug-17,0.305,0.017,0.05,0.97,2.16,0.06,0.03,-0.288,398.6262313
Snovio,"1,946,079.00",Nov-17,0.005,0.004,0.86,0.64,0.71,1.33,1.21,-0.001,306.6262313
Metal,"1,945,000.00",Mar-17,0.118,0.705,5.98,16.6,5.92,0.36,1.01,0.587,551.6262313
vDice,"1,800,000.00",Dec-16,0.054,0.016,0.29,36.78,9.3,0.01,0.03,-0.038,641.6262313
BlockPool,"1,751,444.00",Jun-17,0.088,0.024,0.28,0.98,2.92,0.28,0.09,-0.064,459.6262313
Bounty0,"1,500,000.00",Dec-17,0.014,0.012,0.87,0.4,0.38,2.17,2.3,-0.002,276.6262313
VibeHub,"1,435,724.08",Sep-17,0.02,0.037,1.87,1.11,1.99,1.68,0.94,0.017,367.6262313
ICOO,"1,388,427.08",Jun-16,2.938,0.4,0.14,23.11,10.74,0.01,0.01,-2.538,824.6262313
Vezt,"1,380,644.00",Dec-17,0.492,0.024,0.05,0.62,0.64,0.08,0.08,-0.468,276.6262313
Ethbet,"1,321,550.00",Sep-17,0.176,0.037,0.21,1.09,1.99,0.2,0.11,-0.139,367.6262313
Ethbits,"1,259,488.96",May-17,0.963,0.722,0.75,3.12,4.16,0.24,0.18,-0.241,490.6262313
Gene-Chain,"1,254,594.83",Jul-17,0.026,0.052,2,1.49,3.25,1.35,0.62,0.026,429.6262313
FundYourselfNow,"1,176,702.98",Jul-17,1.612,0.132,0.08,1.41,2.52,0.06,0.03,-1.48,429.6262313
Flypme,"1,140,421.81",Oct-17,0.065,0.043,0.67,0.96,1.2,0.7,0.56,-0.022,337.6262313
Adel,"1,094,622.06",May-17,0.047,,,1.25,3.16,,,-0.047,490.6262313
Augmentors,"1,069,525.00",Feb-17,0.015,0.223,14.56,18.2,6.13,0.8,2.38,0.208,579.6262313
Monsterbyte,"1,033,340.32",Aug-17,0.102,0.089,0.87,1.07,2.14,0.81,0.41,-0.013,398.6262313
Incent,"1,000,000.00",Sep-16,0.043,0.105,2.43,24.02,12.64,0.1,0.19,0.062,732.6262313
Plutus,"1,000,000.00",Jun-16,1.176,2.858,2.43,20.1,10.87,0.12,0.22,1.682,824.6262313
Publica,"1,000,000.00",Nov-17,0.071,0.074,1.03,0.85,1.09,1.21,0.95,0.003,306.6262313
Back to Earth,"988,110.39",Apr-17,0.247,0.083,0.34,4.1,5.49,0.08,0.06,-0.164,520.6262313
Ark,"942,593.13",Dec-16,0.01,0.858,86.23,35.16,9.4,2.45,9.18,0.848,641.6262313
E4ROW,"829,700.00",May-17,0.157,,,1.58,3.12,,,-0.157,490.6262313
Minecoin,"785,705.55",Jun-17,6.309,3.759,0.6,0.72,2.66,0.82,0.22,-2.55,459.6262313
Particl,"688,848.60",Apr-17,0.582,3.47,5.97,6.05,6.2,0.99,0.96,2.888,520.6262313
BlockPay,"675,000.00",Sep-16,0.124,0.048,0.38,24.57,11.92,0.02,0.03,-0.076,732.6262313
Voise,"646,519.00",Jun-17,0.001,0.003,3,1.09,2.53,2.75,1.19,0.002,459.6262313
Virtual Accelerator,"645,000.00",Dec-16,0.04,,,36.41,8.67,,,-0.04,641.6262313
Stratis,"600,944.55",Jul-16,0.007,1.668,233.21,24.02,11.1,9.71,21.01,1.661,794.6262313
Prospectors,"579,232.50",Sep-17,0.116,,,1,1.75,,,-0.116,367.6262313
Peerplays,"500,000.00",May-17,0.526,2.088,3.97,3.17,4,1.25,0.99,1.562,490.6262313
Golos,"462,000.00",Dec-16,0.017,0.029,1.67,38.71,9.35,0.04,0.18,0.012,641.6262313
Storj-,"461,802.00",Aug-14,0.009,0.467,51.74,,15.67,0,3.3,0.458,1494.626231
Rustbits,"428,396.91",Jul-17,0.021,,,1.41,2.52,,,-0.021,429.6262313
Etheroll,"304,295.41",Feb-17,0.068,0.85,12.58,22.71,6.91,0.55,1.82,0.782,579.6262313
Creativechain,"298,331.00",May-17,0.038,0.033,0.88,3.77,5.09,0.23,0.17,-0.005,490.6262313
Octano,"297,414.00",Jun-17,0.074,0.007,0.1,1.06,2.92,0.09,0.03,-0.067,459.6262313
Trackr,"292,938.02",Sep-17,0.049,0.006,0.12,1.15,1.99,0.1,0.06,-0.043,367.6262313
Cryptoforecast,"249,000.00",May-17,0.005,,,2.22,3.64,,,-0.005,490.6262313
Internt,"209,405.00",Sep-17,0.644,3.563,5.53,0.96,1.73,5.74,3.19,2.919,367.6262313
Bitcrystals (Spells of Genesis),"200,000.00",Sep-15,0.015,0.115,7.76,226.77,31.41,0.03,0.25,0.1,1098.626231
Beyond the Void,"115,500.00",Nov-16,0.004,0.029,7.38,33.53,9.7,0.22,0.76,0.025,671.6262313
Tokes,"81,099.98",Jan-17,0.125,0.845,6.75,29.88,8.7,0.23,0.78,0.72,610.6262313
Procommerce,"77,000.00",Feb-17,0.027,0.003,0.1,18.7,6.13,0.01,0.02,-0.024,579.6262313
Bolenum,"18,606.20",Aug-17,0.724,0.002,0,0.96,1.67,0,0,-0.722,398.6262313
Spectrecoin,"15,426.50",Jan-17,0.001,0.284,349.59,27.99,7.94,12.49,44.04,0.283,610.6262313
