value,year,month,social_integration_percentage,perc_under_living_wage,LifeSatisfactionLow,LifeSatisfactionMedium,LifeSatisfactionHigh,LifeSatisfactionVeryHigh
0,2018,9,85,25.8,9.13,21.34,33.63,35.9
2,2018,4,97,12.2,0,16.99,37.43,35.44
0,2018,6,94,27.9,8.18,12.32,47.42,32.08
149,2018,8,93,30.2,0,19.73,40.86,30.82
47,2018,2,95,35.1,0,14.56,45.69,32.98
52,2018,1,96,12.4,8.26,12.68,46.69,32.37
3,2017,1,88,29.3,0,21.6,43.33,28.87
341,2018,1,86,40.9,11.16,19.75,34.9,34.19
0,2018,9,96,11.7,9.01,16.02,38.54,36.44
108,2018,1,89,26.6,0,12.38,37.79,42.9
34,2018,1,89,39.7,0,15.03,40.33,38.42
11,2018,6,92,28.5,7.54,12.87,46.82,32.77
401,2018,8,96,33.8,0,22.03,39.15,33.39
0,2017,0,88,37.5,0,13.25,58.69,24.57
0,2018,1,94,25,10.52,18.15,38.32,33.01
6,2018,1,95,13.3,8.94,14.85,48.2,28.02
43,2018,4,85,28.6,0,21.6,43.33,28.87
65,2018,4,83,35.3,9.39,14.71,43.12,32.78
11,2018,6,87,32.8,0,15.53,44.99,30.84
0,2018,8,89,38.4,0,13.25,58.69,24.57
0,2017,2,89,23,0,12.38,37.79,42.9
0,2017,0,94,14,7.02,21.68,41.26,30.05
1,2017,0,94,20.6,0,14.22,48.74,31.5
11,2018,3,96,23.6,9.8,19.18,43.39,27.64
8,2017,1,91,29.2,0,17.22,44.89,32.87
0,2018,2,97,12.2,0,16.99,37.43,35.44
8,2018,0,85,25.8,9.13,21.34,33.63,35.9
7,2018,3,93,30.2,0,19.73,40.86,30.82
0,2018,9,86,40.9,11.16,19.75,34.9,34.19
31,2017,2,94,20.6,0,14.22,48.74,31.5
120,2018,3,95,20.8,0,21.78,45.18,24.85
3,2018,2,89,38.4,0,13.25,58.69,24.57
0,2017,1,94,20.6,0,14.22,48.74,31.5
4,2018,6,87,29.1,0,16.87,43.14,30.43
37,2018,7,89,26.6,0,12.38,37.79,42.9
5,2017,2,94,29.6,0,19.73,40.86,30.82
3,2018,4,92,44.1,0,15.73,43.24,33.01
0,2018,1,89,38.4,0,13.25,58.69,24.57
15,2017,2,94,14,7.02,21.68,41.26,30.05
0,2018,6,85,28.6,0,21.6,43.33,28.87
1,2018,9,88,48.7,7.9,20.22,34.81,37.08
0,2018,2,96,11.7,9.01,16.02,38.54,36.44
1,2018,4,94,22.1,10.43,22.17,40.06,27.34
5,2018,6,87,32.8,0,15.53,44.99,30.84
0,2018,8,89,38.4,0,13.25,58.69,24.57
16,2018,5,96,33.8,0,22.03,39.15,33.39
12,2018,1,83,35.3,9.39,14.71,43.12,32.78
2,2018,8,89,39.7,0,15.03,40.33,38.42
30,2018,3,94,27.9,8.18,12.32,47.42,32.08
0,2018,2,96,22.3,0,16.15,52.83,26.2
1,2017,1,94,25.1,10.52,18.15,38.32,33.01
0,2017,1,98,16.7,0,16.99,37.43,35.44
0,2017,0,93,22.3,10.43,22.17,40.06,27.34
1,2018,8,87,29.1,0,16.87,43.14,30.43
1,2017,0,93,22.3,10.43,22.17,40.06,27.34
2,2018,9,94,22.1,10.43,22.17,40.06,27.34
1,2018,7,83,33.5,10.6,17.12,37.57,34.71
284,2018,2,86,40.9,11.16,19.75,34.9,34.19
0,2017,2,96,17.9,0,21.78,45.18,24.85
14,2018,3,89,39.7,0,15.03,40.33,38.42
1,2017,0,86,34,0,15.53,44.99,30.84
133,2018,0,98,14.1,7.02,21.68,41.26,30.05
72,2018,8,89,39.7,0,15.03,40.33,38.42
2,2018,5,96,11.7,9.01,16.02,38.54,36.44
2,2018,2,89,38.4,0,13.25,58.69,24.57
0,2018,6,83,33.5,10.6,17.12,37.57,34.71
0,2018,9,95,20.8,0,21.78,45.18,24.85
0,2018,0,89,38.4,0,13.25,58.69,24.57
1,2018,2,95,35.1,0,14.56,45.69,32.98
24,2018,2,89,36.9,0,17.1,52.32,27.19
2,2017,1,93,26.7,8.18,12.32,47.42,32.08
2,2018,1,96,12.4,8.26,12.68,46.69,32.37
36,2018,0,96,23.6,9.8,19.18,43.39,27.64
6,2018,2,97,23.4,0,14.22,48.74,31.5
0,2018,1,89,39.7,0,15.03,40.33,38.42
2,2018,4,96,23.6,9.8,19.18,43.39,27.64
230,2018,1,89,38.4,0,13.25,58.69,24.57
211,2017,0,95,9.8,9.01,16.02,38.54,36.44
17,2018,0,89,38.4,0,13.25,58.69,24.57
5,2017,1,95,9.8,9.01,16.02,38.54,36.44
1,2018,6,96,33.8,0,22.03,39.15,33.39
0,2018,5,95,13.3,8.94,14.85,48.2,28.02
1,2018,3,89,39.7,0,15.03,40.33,38.42
21,2018,1,96,21.2,0,16.5,41.06,33.84
0,2018,1,89,38.4,0,13.25,58.69,24.57
133,2018,9,98,14.1,7.02,21.68,41.26,30.05
0,2017,1,94,29.6,0,19.73,40.86,30.82
76,2018,5,93,30.2,0,19.73,40.86,30.82
34,2018,4,92,44.1,0,15.73,43.24,33.01
24,2018,9,95,20.8,0,21.78,45.18,24.85
6,2018,8,92,44.1,0,15.73,43.24,33.01
0,2018,9,94,27.9,8.18,12.32,47.42,32.08
0,2018,2,88,48.7,7.9,20.22,34.81,37.08
1,2018,8,91,36.3,0,17.22,44.89,32.87
1,2018,8,96,23.6,9.8,19.18,43.39,27.64
1,2018,2,97,12.2,0,16.99,37.43,35.44
0,2018,2,98,14.1,7.02,21.68,41.26,30.05
7,2018,6,95,35.1,0,14.56,45.69,32.98
0,2018,8,89,38.4,0,13.25,58.69,24.57
9,2018,5,86,40.9,11.16,19.75,34.9,34.19
29,2018,4,88,48.7,7.9,20.22,34.81,37.08
114,2018,9,96,33.8,0,22.03,39.15,33.39
0,2018,0,94,22.1,10.43,22.17,40.06,27.34
0,2018,1,98,14.1,7.02,21.68,41.26,30.05
2,2018,9,91,36.3,0,17.22,44.89,32.87
51,2017,0,94,25.1,10.52,18.15,38.32,33.01
9,2018,5,92,44.1,0,15.73,43.24,33.01
0,2018,0,89,26.6,0,12.38,37.79,42.9
14,2018,7,87,32.8,0,15.53,44.99,30.84
0,2018,9,95,13.3,8.94,14.85,48.2,28.02
16,2018,1,95,13.3,8.94,14.85,48.2,28.02
0,2018,0,95,35.1,0,14.56,45.69,32.98
5,2018,1,92,44.1,0,15.73,43.24,33.01
0,2018,2,97,23.4,0,14.22,48.74,31.5
12,2018,1,89,38.4,0,13.25,58.69,24.57
0,2018,5,96,11.7,9.01,16.02,38.54,36.44
0,2018,9,94,25,10.52,18.15,38.32,33.01
18,2018,9,94,27.9,8.18,12.32,47.42,32.08
441,2018,2,93,30.2,0,19.73,40.86,30.82
1,2018,4,85,28.6,0,21.6,43.33,28.87
2,2017,2,94,20.6,0,14.22,48.74,31.5
93,2018,4,89,38.4,0,13.25,58.69,24.57
8,2018,3,94,22.1,10.43,22.17,40.06,27.34
91,2017,0,93,39.2,0,15.73,43.24,33.01
23,2018,5,91,36.3,0,17.22,44.89,32.87
2,2018,4,98,14.1,7.02,21.68,41.26,30.05
10,2018,4,96,23.6,9.8,19.18,43.39,27.64
7,2018,3,88,48.7,7.9,20.22,34.81,37.08
164,2017,2,95,9.8,9.01,16.02,38.54,36.44
270,2018,5,96,23.6,9.8,19.18,43.39,27.64
61,2018,4,94,22.1,10.43,22.17,40.06,27.34
27,2018,8,87,32.8,0,15.53,44.99,30.84
5,2017,2,94,29.6,0,19.73,40.86,30.82
25,2018,2,92,28.5,7.54,12.87,46.82,32.77
2,2018,1,94,22.1,10.43,22.17,40.06,27.34
0,2018,2,96,22.3,0,16.15,52.83,26.2
1,2018,2,92,44.1,0,15.73,43.24,33.01
217,2018,1,89,26.6,0,12.38,37.79,42.9
46,2018,0,94,25,10.52,18.15,38.32,33.01
386,2018,8,94,25,10.52,18.15,38.32,33.01
175,2018,0,95,13.3,8.94,14.85,48.2,28.02
1,2018,2,85,25.8,9.13,21.34,33.63,35.9
0,2018,2,87,29.1,0,16.87,43.14,30.43
144,2018,2,85,28.6,0,21.6,43.33,28.87
0,2018,1,91,36.3,0,17.22,44.89,32.87
0,2017,1,86,45.5,7.9,20.22,34.81,37.08
72,2018,7,87,29.1,0,16.87,43.14,30.43
0,2018,1,92,28.5,7.54,12.87,46.82,32.77
267,2018,0,97,12.2,0,16.99,37.43,35.44
1,2018,2,85,25.8,9.13,21.34,33.63,35.9
258,2018,5,94,22.1,10.43,22.17,40.06,27.34
32,2018,1,93,30.2,0,19.73,40.86,30.82
0,2018,9,95,35.1,0,14.56,45.69,32.98
1,2018,7,89,26.6,0,12.38,37.79,42.9
34,2017,0,93,10.1,8.94,14.85,48.2,28.02
52,2018,5,98,14.1,7.02,21.68,41.26,30.05
12,2017,1,92,24.7,7.54,12.87,46.82,32.77
95,2018,9,85,28.6,0,21.6,43.33,28.87
2,2018,6,87,32.8,0,15.53,44.99,30.84
1,2018,5,95,20.8,0,21.78,45.18,24.85
19,2018,1,89,39.7,0,15.03,40.33,38.42
9,2017,0,91,24.1,9.8,19.18,43.39,27.64
0,2018,9,92,28.5,7.54,12.87,46.82,32.77
0,2018,1,92,28.5,7.54,12.87,46.82,32.77
1,2018,1,89,26.6,0,12.38,37.79,42.9
22,2017,2,88,37.5,0,13.25,58.69,24.57
0,2018,7,89,38.4,0,13.25,58.69,24.57
12,2018,7,92,44.1,0,15.73,43.24,33.01
19,2018,1,96,22.3,0,16.15,52.83,26.2
0,2018,5,89,26.6,0,12.38,37.79,42.9
163,2018,2,83,35.3,9.39,14.71,43.12,32.78
3,2018,2,85,28.6,0,21.6,43.33,28.87
122,2018,8,96,22.3,0,16.15,52.83,26.2
131,2017,1,94,25.1,10.52,18.15,38.32,33.01
1,2018,1,97,12.2,0,16.99,37.43,35.44
1,2018,5,88,48.7,7.9,20.22,34.81,37.08
94,2018,0,94,27.9,8.18,12.32,47.42,32.08
0,2018,9,85,25.8,9.13,21.34,33.63,35.9
0,2018,1,83,33.5,10.6,17.12,37.57,34.71
1,2018,3,97,12.2,0,16.99,37.43,35.44
0,2017,1,88,29.3,0,21.6,43.33,28.87
78,2018,3,88,48.7,7.9,20.22,34.81,37.08
24,2018,1,94,25,10.52,18.15,38.32,33.01
0,2018,0,96,33.8,0,22.03,39.15,33.39
1,2018,9,89,36.9,0,17.1,52.32,27.19
374,2018,1,91,36.3,0,17.22,44.89,32.87
172,2017,0,88,37.5,0,13.25,58.69,24.57
40,2018,9,94,25,10.52,18.15,38.32,33.01
21,2017,2,92,24.7,7.54,12.87,46.82,32.77
0,2018,2,96,11.7,9.01,16.02,38.54,36.44
74,2018,2,94,27.9,8.18,12.32,47.42,32.08
212,2018,4,96,11.7,9.01,16.02,38.54,36.44
242,2017,1,88,29.3,0,21.6,43.33,28.87
0,2018,8,85,28.6,0,21.6,43.33,28.87
7,2018,5,92,44.1,0,15.73,43.24,33.01
190,2018,3,92,28.5,7.54,12.87,46.82,32.77
3,2018,9,96,33.8,0,22.03,39.15,33.39
0,2018,1,88,48.7,7.9,20.22,34.81,37.08
2,2018,6,96,23.6,9.8,19.18,43.39,27.64
17,2017,0,94,31.6,0,14.56,45.69,32.98
1,2017,0,82,26.1,9.13,21.34,33.63,35.9
5,2018,1,89,36.9,0,17.1,52.32,27.19
2,2017,0,98,16.7,0,16.99,37.43,35.44
1,2018,5,92,28.5,7.54,12.87,46.82,32.77
11,2018,8,83,33.5,10.6,17.12,37.57,34.71
1,2018,9,95,20.8,0,21.78,45.18,24.85
4,2018,2,95,20.8,0,21.78,45.18,24.85
4,2018,0,91,36.3,0,17.22,44.89,32.87
0,2017,2,98,16.7,0,16.99,37.43,35.44
95,2018,2,95,13.3,8.94,14.85,48.2,28.02
2,2018,1,83,33.5,10.6,17.12,37.57,34.71
1,2017,2,87,37.8,0,17.1,52.32,27.19
0,2017,0,94,29.6,0,19.73,40.86,30.82
0,2018,5,95,13,0,20.38,47.57,25.44
0,2018,2,96,11.7,9.01,16.02,38.54,36.44
113,2018,6,83,33.5,10.6,17.12,37.57,34.71
9,2018,5,85,25.8,9.13,21.34,33.63,35.9
98,2018,6,95,13,0,20.38,47.57,25.44
30,2018,3,94,22.1,10.43,22.17,40.06,27.34
50,2018,6,93,30.2,0,19.73,40.86,30.82
18,2017,0,98,12.9,8.26,12.68,46.69,32.37
0,2018,0,89,38.4,0,13.25,58.69,24.57
0,2017,2,86,45.5,7.9,20.22,34.81,37.08
150,2017,1,95,9.8,9.01,16.02,38.54,36.44
64,2018,0,85,25.8,9.13,21.34,33.63,35.9
215,2017,2,85,35.9,11.16,19.75,34.9,34.19
20,2017,1,85,35.9,11.16,19.75,34.9,34.19
165,2018,8,93,30.2,0,19.73,40.86,30.82
3,2018,1,96,33.8,0,22.03,39.15,33.39
7,2018,5,89,38.4,0,13.25,58.69,24.57
145,2018,2,95,13,0,20.38,47.57,25.44
4,2018,1,95,35.1,0,14.56,45.69,32.98
69,2018,3,94,22.1,10.43,22.17,40.06,27.34
26,2018,1,93,30.2,0,19.73,40.86,30.82
38,2018,5,89,36.9,0,17.1,52.32,27.19
5,2017,2,87,37.8,0,17.1,52.32,27.19
0,2018,1,87,32.8,0,15.53,44.99,30.84
1,2017,2,94,25.1,10.52,18.15,38.32,33.01
0,2018,4,95,13.3,8.94,14.85,48.2,28.02
0,2017,1,95,19.5,0,16.15,52.83,26.2
0,2018,7,91,36.3,0,17.22,44.89,32.87
13,2017,0,98,12.9,8.26,12.68,46.69,32.37
63,2018,6,94,27.9,8.18,12.32,47.42,32.08
60,2017,2,93,22.3,10.43,22.17,40.06,27.34
0,2017,1,81,34,0,22.03,39.15,33.39
7,2017,2,81,34,0,22.03,39.15,33.39
1,2018,8,96,33.8,0,22.03,39.15,33.39
7,2018,5,95,20.8,0,21.78,45.18,24.85
28,2018,1,95,20.8,0,21.78,45.18,24.85
0,2018,2,89,26.6,0,12.38,37.79,42.9
4,2018,0,96,11.7,9.01,16.02,38.54,36.44
22,2018,3,89,36.9,0,17.1,52.32,27.19
33,2018,0,89,36.9,0,17.1,52.32,27.19
63,2018,5,83,35.3,9.39,14.71,43.12,32.78
3,2018,9,92,28.5,7.54,12.87,46.82,32.77
0,2018,4,96,12.4,8.26,12.68,46.69,32.37
0,2018,3,95,35.1,0,14.56,45.69,32.98
0,2018,1,85,25.8,9.13,21.34,33.63,35.9
6,2018,1,88,48.7,7.9,20.22,34.81,37.08
6,2017,2,93,22.3,10.43,22.17,40.06,27.34
0,2018,1,92,28.5,7.54,12.87,46.82,32.77
7,2018,1,98,14.1,7.02,21.68,41.26,30.05
35,2018,7,88,48.7,7.9,20.22,34.81,37.08
0,2018,5,86,40.9,11.16,19.75,34.9,34.19
0,2018,3,97,12.2,0,16.99,37.43,35.44
188,2018,1,89,39.7,0,15.03,40.33,38.42
1,2017,0,93,10.1,8.94,14.85,48.2,28.02
13,2018,4,97,12.2,0,16.99,37.43,35.44
1,2018,1,96,23.6,9.8,19.18,43.39,27.64
5,2018,8,88,48.7,7.9,20.22,34.81,37.08
2,2018,4,85,25.8,9.13,21.34,33.63,35.9
0,2018,8,95,13,0,20.38,47.57,25.44
0,2018,3,89,26.6,0,12.38,37.79,42.9
1,2018,1,96,11.7,9.01,16.02,38.54,36.44
0,2018,0,87,32.8,0,15.53,44.99,30.84
37,2018,5,89,38.4,0,13.25,58.69,24.57
1,2017,0,94,31.6,0,14.56,45.69,32.98
0,2018,2,92,44.1,0,15.73,43.24,33.01
1,2018,1,96,11.7,9.01,16.02,38.54,36.44
1,2018,3,96,12.4,8.26,12.68,46.69,32.37
10,2017,2,91,32.9,9.39,14.71,43.12,32.78
140,2017,1,96,17.9,0,21.78,45.18,24.85
0,2018,6,89,39.7,0,15.03,40.33,38.42
150,2018,5,96,21.2,0,16.5,41.06,33.84
137,2017,1,98,16.7,0,16.99,37.43,35.44
201,2018,2,89,26.6,0,12.38,37.79,42.9
0,2018,8,96,11.7,9.01,16.02,38.54,36.44
0,2018,8,96,12.4,8.26,12.68,46.69,32.37
0,2018,5,97,23.4,0,14.22,48.74,31.5
0,2018,9,94,27.9,8.18,12.32,47.42,32.08
4,2018,2,85,28.6,0,21.6,43.33,28.87
111,2018,7,94,25,10.52,18.15,38.32,33.01
1,2017,2,97,29.6,10.6,17.12,37.57,34.71
543,2018,7,95,20.8,0,21.78,45.18,24.85
1,2017,0,94,14,7.02,21.68,41.26,30.05
1,2017,1,92,24.7,7.54,12.87,46.82,32.77
57,2018,5,97,12.2,0,16.99,37.43,35.44
31,2017,0,88,37.5,0,13.25,58.69,24.57
7,2018,1,93,30.2,0,19.73,40.86,30.82
0,2018,4,96,23.6,9.8,19.18,43.39,27.64
1,2018,2,88,48.7,7.9,20.22,34.81,37.08
0,2017,0,88,29.3,0,21.6,43.33,28.87
27,2018,4,95,20.8,0,21.78,45.18,24.85
8,2018,0,96,21.2,0,16.5,41.06,33.84
4,2017,0,94,14,7.02,21.68,41.26,30.05
40,2017,0,85,35.9,11.16,19.75,34.9,34.19
47,2018,2,94,25,10.52,18.15,38.32,33.01
151,2018,0,96,11.7,9.01,16.02,38.54,36.44
371,2018,8,96,21.2,0,16.5,41.06,33.84
16,2018,7,85,25.8,9.13,21.34,33.63,35.9
110,2018,9,85,28.6,0,21.6,43.33,28.87
4,2018,2,95,20.8,0,21.78,45.18,24.85
1,2018,5,89,39.7,0,15.03,40.33,38.42
1,2018,5,95,13,0,20.38,47.57,25.44
35,2018,1,85,25.8,9.13,21.34,33.63,35.9
0,2018,2,85,28.6,0,21.6,43.33,28.87
1,2018,3,96,33.8,0,22.03,39.15,33.39
22,2017,0,97,29.6,10.6,17.12,37.57,34.71
371,2018,8,91,36.3,0,17.22,44.89,32.87
5,2018,8,95,13,0,20.38,47.57,25.44
116,2018,2,89,26.6,0,12.38,37.79,42.9
40,2017,0,87,37.8,0,17.1,52.32,27.19
27,2018,1,94,25,10.52,18.15,38.32,33.01
117,2018,6,97,12.2,0,16.99,37.43,35.44
0,2018,9,95,35.1,0,14.56,45.69,32.98
0,2017,2,97,17.6,0,16.5,41.06,33.84
17,2018,3,94,27.9,8.18,12.32,47.42,32.08
3,2017,2,98,16.7,0,16.99,37.43,35.44
2,2017,0,91,29.2,0,17.22,44.89,32.87
47,2018,1,87,32.8,0,15.53,44.99,30.84
32,2018,5,96,11.7,9.01,16.02,38.54,36.44
2,2018,8,96,11.7,9.01,16.02,38.54,36.44
96,2017,2,82,26.1,9.13,21.34,33.63,35.9
4,2018,5,85,28.6,0,21.6,43.33,28.87
