Area Code,Area Name,Total Population,PM2.5 Concentration (µg/m3),Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 6%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 1%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 12%
00ADGS,Northumberland Heath,10548,14.74,8,1,14
00ADGT,St. Mary's,9999,14.81,7,1,14
00ADGU,St. Michael's,10569,14.77,8,1,14
00ADGW,Sidcup,10360,14.81,8,1,14
00ADGX,Thamesmead East,11140,14.76,8,1,15
00AEGJ,Alperton,12643,15.29,6,1,11
00AEGK,Barnhill,13204,15.11,6,1,12
00AEGL,Brondesbury Park,12299,15.44,6,1,11
00AEGM,Dollis Hill,12677,15.75,6,1,11
00AEGN,Dudden Hill,14058,15.83,7,1,13
00AEGP,Fryent,12264,15.04,6,1,11
00AEGQ,Harlesden,13216,15.72,6,1,12
00AEGR,Kensal Green,11340,15.89,5,1,10
00AEGS,Kenton,12163,14.91,6,1,11
00AEGT,Kilburn,14744,15.71,7,1,13
00AEGU,Mapesbury,14242,15.44,7,1,13
00AEGW,Northwick Park,12518,14.99,6,1,11
00AEGX,Preston,14061,15.07,7,1,13
00AEGY,Queens Park,13157,15.61,6,1,12
00AEGZ,Queensbury,14272,14.93,7,1,13
00AEHA,Stonebridge,17229,15.78,8,1,16
00AEHB,Sudbury,12884,15.13,6,1,12
00AEHC,Tokyngton,12169,15.36,6,1,11
00AEHD,Welsh Harp,12726,15.59,6,1,11
00AEHE,Wembley Central,11712,15.18,6,1,11
00AEHF,Willesden Green,14285,15.51,7,1,13
00AFGD,Bickley,14362,14.77,10,2,19
00AFGE,Biggin Hill,10353,14.37,7,1,14
00AFGF,Bromley Common and Keston,14375,14.62,10,2,19
00AFGG,Bromley Town,15656,14.94,11,2,21
00AFGH,Chelsfield and Pratts Bottom,14903,14.42,11,2,20
00AFGJ,Chislehurst,15137,14.72,11,2,20
00AFGK,Clock House,16107,14.96,12,2,22
00AFGL,Copers Cope,15098,14.94,11,2,20
00AFGM,Cray Valley East,14960,14.51,11,2,20
00AFGN,Cray Valley West,16109,14.66,12,2,22
00AFGP,Crystal Palace,11517,15.07,8,1,16
00AFGQ,Darwin,4846,14.36,3,1,7
00AFGR,Farnborough and Crofton,14192,14.55,10,2,19
00AFGS,Hayes and Coney Hall,14888,14.61,11,2,20
00AFGT,Kelsey and Eden Park,15541,14.86,11,2,21
00AFGU,Mottingham and Chislehurst North,10277,14.83,7,1,14
00AFGW,Orpington,15295,14.54,11,2,21
00AFGX,Penge and Cator,16891,14.99,12,2,23
00AFGY,Petts Wood and Knoll,13593,14.56,10,2,18
00AFGZ,Plaistow and Sundridge,14622,14.8,11,2,20
00AFHA,Shortlands,9419,14.82,7,1,13
00AFHB,West Wickham,14323,14.75,10,2,19
00AGGD,Belsize,11991,15.86,6,1,12
00AGGE,Bloomsbury,9205,17.54,5,1,9
00AGGF,Camden Town with Primrose Hill,12286,16.21,6,1,12
00AGGG,Cantelowes,11220,16.53,6,1,11
00AGGH,Fortune Green,10895,15.7,6,1,10
00AGGJ,Frognal and Fitzjohns,11937,15.73,6,1,11
00AGGK,Gospel Oak,10817,15.85,6,1,10
00AGGL,Hampstead Town,11016,15.49,6,1,11
00AGGM,Haverstock,11749,15.88,6,1,11
00AGGN,Highgate,10622,15.29,5,1,10
00AGGP,Holborn and Covent Garden,11438,17.18,6,1,11
00AGGQ,Kentish Town,12424,15.99,6,1,12
00AGGR,Kilburn,11000,15.88,6,1,11
00AGGS,King's Cross,11717,17.19,6,1,11
00AGGT,Regent's Park,12324,16.7,6,1,12
00AGGU,St. Pancras and Somers Town,13081,16.74,7,1,13
00AGGW,Swiss Cottage,12409,15.84,6,1,12
00AGGX,West Hampstead,11067,15.84,6,1,11
00AHGE,Addiscombe,16076,15.08,10,2,18
00AHGF,Ashburton,13905,14.93,8,1,16
00AHGG,Bensham Manor,16857,15.08,10,2,19
00AHGH,Broad Green,15794,15.38,9,2,18
00AHGJ,Coulsdon East,12092,14.49,7,1,14
00AHGK,Coulsdon West,13412,14.8,8,1,15
00AHGL,Croham,15043,14.99,9,2,17
00AHGM,Fairfield,16149,15.16,10,2,18
00AHGN,Fieldway,11019,14.55,7,1,12
00AHGP,Heathfield,12984,14.66,8,1,15
00AHGQ,Kenley,14240,14.62,9,2,16
00AHGR,New Addington,10261,14.48,6,1,11
00AHGS,Norbury,14632,15.09,9,2,16
00AHGT,Purley,14111,15,8,1,16
00AHGU,Sanderstead,12078,14.62,7,1,14
00AHGW,Selhurst,15175,15.17,9,2,17
00AHGX,Selsdon and Ballards,11751,14.63,7,1,13
00AHGY,Shirley,13772,14.72,8,1,15
00AHGZ,South Norwood,15043,15.06,9,2,17
00AHHA,Thornton Heath,14923,15.17,9,2,17
00AHHB,Upper Norwood,14318,15.1,9,2,16
00AHHC,Waddon,14584,15.22,9,2,16
00AHHD,West Thornton,16832,15.28,10,2,19
00AHHE,Woodside,15970,14.93,10,2,18
00AJGC,Acton Central,14192,15.88,7,1,14
00AJGD,Cleveland,14649,15.38,8,1,14
00AJGE,Dormers Wells,13476,15.29,7,1,13
00AJGF,Ealing Broadway,13758,15.69,7,1,13
00AJGG,Ealing Common,13352,15.74,7,1,13
00AJGH,East Acton,18422,16.04,10,2,18
00AJGJ,Elthorne,13581,15.44,7,1,13
00AJGK,Greenford Broadway,14961,15.13,8,1,15
00AJGL,Greenford Green,12802,15.17,7,1,12
00AJGM,Hanger Hill,14535,15.92,8,1,14
00AJGN,Hobbayne,13401,15.17,7,1,13
00AJGP,Lady Margaret,13014,15.04,7,1,13
00AJGQ,Northfield,12970,15.35,7,1,13
00AJGR,North Greenford,13374,15.05,7,1,13
00AJGS,Northolt Mandeville,13286,15.02,7,1,13
00AJGT,Northolt West End,13732,14.98,7,1,13
00AJGU,Norwood Green,12922,15.37,7,1,13
00AJGW,Perivale,14308,15.33,7,1,14
00AJGX,South Acton,13843,15.52,7,1,13
00AJGY,Southall Broadway,13577,15.54,7,1,13
00AJGZ,Southall Green,13320,15.34,7,1,13
00AJHA,Southfield,13034,15.34,7,1,13
00AJHB,Walpole,13212,15.27,7,1,13
00AKGL,Bowes,11847,15.52,7,1,14
00AKGM,Bush Hill Park,14110,14.99,9,2,16
00AKGN,Chase,13264,14.72,8,1,15
00AKGP,Cockfosters,13590,14.62,8,1,16
00AKGQ,Edmonton Green,16198,15.61,10,2,19
00AKGR,Enfield Highway,14881,14.8,9,2,17
00AKGS,Enfield Lock,14303,14.92,9,2,16
00AKGT,Grange,12681,14.81,8,1,15
00AKGU,Haselbury,14931,15.27,9,2,17
00AKGW,Highlands,13334,14.64,8,1,15
00AKGX,Jubilee,12982,14.88,8,1,15
00AKGY,Lower Edmonton,14536,15,9,2,17
00AKGZ,Palmers Green,13694,15.35,8,1,16
00AKHA,Ponders End,13906,14.93,9,2,16
00AKHB,Southbury,13351,14.95,8,1,15
00AKHC,Southgate,13546,14.88,8,1,15
00AKHD,Southgate Green,13379,15.25,8,1,15
00AKHE,Town,14814,14.78,9,2,17
00AKHF,Turkey Street,13211,15.13,8,1,15
00AKHG,Upper Edmonton,15752,15.76,10,2,18
00AKHH,Winchmore Hill,12946,14.88,8,1,15
00ALGP,Abbey Wood,14053,14.83,9,2,16
00ALGQ,Blackheath Westcombe,12261,15.62,8,1,14
00ALGR,Charlton,12800,15.44,8,1,15
00ALGS,Coldharbour and New Eltham,12546,15,8,1,15
00ALGT,Eltham North,12459,15.35,8,1,15
00ALGU,Eltham South,11966,14.93,8,1,14
00ALGW,Eltham West,13810,15.55,9,2,16
00ALGX,Glyndon,15458,15.05,10,2,18
00ALGY,Greenwich West,13830,15.73,9,2,16
00ALGZ,Kidbrooke with Hornfair,13127,15.25,8,1,15
00ALHA,Middle Park and Sutcliffe,13024,15.19,8,1,15
00ALHB,Peninsula,13309,16.17,8,1,16
00ALHC,Plumstead,14386,14.87,9,2,17
00ALHD,Shooters Hill,13075,14.86,8,1,15
00ALHE,Thamesmead Moorings,17794,14.9,11,2,21
00ALHF,Woolwich Common,15310,15.09,10,2,18
00ALHG,Woolwich Riverside,17242,15.44,11,2,20
00AMGA,Brownswood,12178,15.65,5,1,10
00AMGB,Cazenove,11482,15.39,5,1,9
00AMGC,Chatham,11432,15.89,5,1,9
00AMGD,Clissold,11230,15.46,5,1,9
00AMGE,Dalston,12032,15.75,5,1,10
00AMGF,De Beauvoir,11560,15.75,5,1,9
00AMGG,Hackney Central,11014,15.83,5,1,9
00AMGH,Hackney Downs,11638,15.49,5,1,9
00AMGJ,Haggerston,12165,16.21,5,1,10
00AMGK,Hoxton,12230,16.15,5,1,10
00AMGL,King's Park,11538,15.4,5,1,9
00AMGM,Leabridge,11405,15.49,5,1,9
00AMGN,Lordship,12518,15.37,5,1,10
00AMGP,New River,12314,15.53,5,1,10
00AMGQ,Queensbridge,11410,15.63,5,1,9
00AMGR,Springfield,11425,15.24,5,1,9
00AMGS,Stoke Newington Central,11512,15.7,5,1,9
00AMGT,Victoria,13049,15.81,6,1,11
00AMGU,Wick,11225,16.59,5,1,9
00ANGA,Addison,11814,15.73,6,1,11
00ANGB,Askew,12651,15.61,6,1,11
00ANGC,Avonmore and Brook Green,12085,16.03,6,1,11
00ANGD,College Park and Old Oak,9064,15.94,4,1,8
00ANGE,Fulham Broadway,10994,15.63,5,1,10
00ANGF,Fulham Reach,10769,15.69,5,1,10
00ANGG,Hammersmith Broadway,12204,16.42,6,1,11
00ANGH,Munster,10436,15.51,5,1,9
00ANGJ,North End,11509,16.03,6,1,10
00ANGK,Palace Riverside,7675,15.33,4,1,7
00ANGL,Parsons Green and Walham,10842,15.88,5,1,10
00ANGM,Ravenscourt Park,11621,15.76,6,1,11
00ANGN,Sands End,11881,15.56,6,1,11
00ANGP,Shepherd's Bush Green,11331,15.86,5,1,10
00ANGQ,Town,10479,15.68,5,1,9
00ANGR,Wormholt and White City,13301,15.84,6,1,12
00APGA,Alexandra,11146,15.09,5,1,9
00APGB,Bounds Green,12806,15.29,5,1,10
00APGC,Bruce Grove,12816,15.33,5,1,10
00APGD,Crouch End,11692,15.25,5,1,9
00APGE,Fortis Green,12203,15.18,5,1,10
00APGF,Harringay,11493,15.55,5,1,9
00APGG,Highgate,11089,15.33,5,1,9
00APGH,Hornsey,11345,15.24,5,1,9
00APGJ,Muswell Hill,10583,15.22,4,1,8
00APGK,Noel Park,12349,15.37,5,1,10
00APGL,Northumberland Park,13616,15.19,6,1,11
00APGM,St. Ann's,13730,15.46,6,1,11
00APGN,Seven Sisters,14243,15.43,6,1,11
00APGP,Stroud Green,11250,15.27,5,1,9
00APGQ,Tottenham Green,13277,15.62,6,1,11
00APGR,Tottenham Hale,13535,15.41,6,1,11
00APGS,West Green,12832,15.27,5,1,10
00APGT,White Hart Lane,12558,15.29,5,1,10
00APGU,Woodside,12492,15.23,5,1,10
00AQFY,Belmont,9681,14.79,5,1,10
00AQFZ,Canons,10875,14.72,6,1,11
00AQGA,Edgware,10294,14.89,6,1,10
00AQGB,Greenhill,11118,15.08,6,1,11
00AQGC,Harrow on the Hill,11659,14.97,6,1,12
00AQGD,Harrow Weald,10674,14.67,6,1,11
00AQGE,Hatch End,10401,14.67,6,1,11
00AQGF,Headstone North,9749,14.73,5,1,10
00AQGG,Headstone South,9909,14.92,5,1,10
00AQGH,Kenton East,10189,14.96,6,1,10
00AQGJ,Kenton West,10514,14.84,6,1,11
00AQGK,Marlborough,10048,14.86,5,1,10
00AQGL,Pinner,9854,14.6,5,1,10
00AQGM,Pinner South,10226,14.7,6,1,10
00AQGN,Queensbury,10375,14.93,6,1,11
00AQGP,Rayners Lane,10446,14.74,6,1,11
00AQGQ,Roxbourne,11854,14.84,6,1,12
00AQGR,Roxeth,10926,14.93,6,1,11
00AQGS,Stanmore Park,10642,14.65,6,1,11
00AQGT,Wealdstone,9459,14.79,5,1,10
00AQGU,West Harrow,10063,14.87,5,1,10
00ARGC,Brooklands,13673,14.81,11,2,20
00ARGD,Cranham,12260,14.67,10,2,18
00ARGE,Elm Park,12261,14.58,10,2,18
00ARGF,Emerson Park,11656,14.51,9,2,17
00ARGG,Gooshays,14108,14.57,11,2,21
00ARGH,Hacton,12585,14.48,10,2,18
00ARGJ,Harold Wood,12614,14.58,10,2,19
00ARGK,Havering Park,12792,14.4,10,2,19
00ARGL,Heaton,11909,14.58,9,2,17
00ARGM,Hylands,12717,14.61,10,2,19
00ARGN,Mawneys,12706,14.64,10,2,19
00ARGP,Pettits,13019,14.66,10,2,19
00ARGQ,Rainham and Wennington,12230,14.66,10,2,18
00ARGR,Romford Town,14982,14.85,12,2,22
00ARGS,St. Andrew's,12956,14.53,10,2,19
00ARGT,South Hornchurch,12683,14.86,10,2,19
00ARGU,Squirrel's Heath,12452,14.7,10,2,18
00ARGW,Upminster,12876,14.44,10,2,19
00ASGG,Barnhill,12280,14.85,8,1,14
00ASGH,Botwell,12915,15.16,8,1,15
00ASGJ,Brunel,15008,14.84,9,2,17
00ASGK,Cavendish,11242,14.66,7,1,13
00ASGL,Charville,11738,14.72,7,1,13
00ASGM,Eastcote and East Ruislip,11454,14.63,7,1,13
00ASGN,Harefield,7249,14.39,4,1,8
00ASGP,Heathrow Villages,10517,15.66,6,1,12
00ASGQ,Hillingdon East,11930,14.84,7,1,14
00ASGR,Ickenham,9866,14.81,6,1,11
00ASGS,Manor,10991,14.77,7,1,13
00ASGT,Northwood,10977,14.45,7,1,13
00ASGU,Northwood Hills,11154,14.59,7,1,13
00ASGW,Pinkwell,12556,15.52,8,1,14
00ASGX,South Ruislip,11213,14.83,7,1,13
00ASGY,Townfield,12072,15.26,7,1,14
00ASGZ,Uxbridge North,12074,14.94,7,1,14
00ASHA,Uxbridge South,11680,14.79,7,1,13
00ASHB,West Drayton,12209,15.17,7,1,14
00ASHC,West Ruislip,10476,14.61,6,1,12
00ASHD,Yeading,12325,14.98,8,1,14
00ASHE,Yiewsley,11506,14.97,7,1,13
00ATFY,Bedfont,10290,15.12,5,1,10
00ATFZ,Brentford,12388,15.78,7,1,12
00ATGA,Chiswick Homefields,11868,15.48,6,1,12
00ATGB,Chiswick Riverside,11408,15.55,6,1,11
00ATGC,Cranford,11427,15.42,6,1,11
00ATGD,Feltham North,9897,15.23,5,1,10
00ATGE,Feltham West,14195,14.81,7,1,14
00ATGF,Hanworth,13112,15.01,7,1,13
00ATGG,Hanworth Park,10776,14.91,6,1,11
00ATGH,Heston Central,11418,15.39,6,1,11
00ATGJ,Heston East,11180,15.34,6,1,11
00ATGK,Heston West,11883,15.5,6,1,12
00ATGL,Hounslow Central,12044,15.09,6,1,12
00ATGM,Hounslow Heath,11953,14.98,6,1,12
00ATGN,Hounslow South,10973,14.97,6,1,11
00ATGP,Hounslow West,10862,15.16,6,1,11
00ATGQ,Isleworth,11283,15.14,6,1,11
00ATGR,Osterley and Spring Grove,10859,15.24,6,1,11
00ATGS,Syon,10849,15.22,6,1,11
00ATGT,Turnham Green,11240,15.88,6,1,11
00AUFX,Barnsbury,11087,16.05,6,1,10
00AUFY,Bunhill,11089,16.61,6,1,10
00AUFZ,Caledonian,13161,16.14,7,1,12
00AUGA,Canonbury,10653,15.75,5,1,10
00AUGB,Clerkenwell,10399,16.61,5,1,10
00AUGC,Finsbury Park,13522,15.87,7,1,13
00AUGD,Highbury East,11529,15.69,6,1,11
00AUGE,Highbury West,14096,15.78,7,1,13
00AUGF,Hillrise,11936,15.42,6,1,11
00AUGG,Holloway,15549,15.98,8,1,15
00AUGH,Junction,11461,15.83,6,1,11
00AUGJ,Mildmay,12179,15.75,6,1,11
00AUGK,St. George's,11925,15.75,6,1,11
00AUGL,St. Mary's,11362,16.09,6,1,11
00AUGM,St. Peter's,11882,16,6,1,11
00AUGN,Tollington,13284,15.57,7,1,13
00AWFY,Abingdon,9795,16.31,4,1,8
00AWFZ,Brompton,9884,16.78,4,1,8
00AWGA,Campden,8919,15.97,4,1,7
00AWGB,Colville,8366,15.85,4,1,7
00AWGC,Courtfield,10123,16.42,5,1,9
00AWGD,Cremorne,9794,16.33,4,1,8
00AWGE,Earl's Court,10430,16.65,5,1,9
00AWGF,Golborne,9367,16.18,4,1,8
00AWGG,Hans Town,9822,16.14,4,1,8
00AWGH,Holland,9903,15.92,4,1,8
00AWGJ,Norland,9196,15.89,4,1,8
00AWGK,Notting Barns,9400,16.27,4,1,8
00AWGL,Pembridge,8672,15.87,4,1,7
00AWGM,Queen's Gate,10241,16.05,5,1,9
00AWGN,Redcliffe,9229,15.93,4,1,8
00AWGP,Royal Hospital,8036,16.26,4,1,7
00AWGQ,St. Charles,9696,15.9,4,1,8
00AWGR,Stanley,8142,16.17,4,1,7
00AXFX,Alexandra,9176,15.03,5,1,10
00AXFY,Berrylands,9582,14.99,6,1,10
00AXFZ,Beverley,10063,14.95,6,1,11
00AXGA,Canbury,11308,15.02,7,1,12
00AXGB,Chessington North and Hook,8825,14.89,5,1,10
00AXGC,Chessington South,10023,14.69,6,1,11
00AXGD,Coombe Hill,10361,15.04,6,1,11
00AXGE,Coombe Vale,9453,14.92,6,1,10
00AXGF,Grove,9152,15.37,5,1,10
00AXGG,Norbiton,9569,15.23,6,1,10
00AXGH,Old Malden,9194,14.96,5,1,10
00AXGJ,St. James,8758,15.27,5,1,10
00AXGK,St. Mark's,9822,14.94,6,1,11
00AXGL,Surbiton Hill,10627,14.93,6,1,12
00AXGM,Tolworth and Hook Rise,9703,15.12,6,1,11
00AXGN,Tudor,8589,14.94,5,1,9
00AYFZ,Bishop's,10003,16.5,5,1,9
00AYGA,Brixton Hill,13734,15.58,7,1,12
00AYGB,Clapham Common,13706,15.67,6,1,12
00AYGC,Clapham Town,14564,15.96,7,1,13
00AYGD,Coldharbour,15493,15.81,7,1,14
00AYGE,Ferndale,14518,15.79,7,1,13
00AYGF,Gipsy Hill,14598,15.22,7,1,13
00AYGG,Herne Hill,13039,15.64,6,1,12
00AYGH,Knight's Hill,14688,15.23,7,1,13
00AYGJ,Larkhall,15775,15.81,7,1,14
00AYGK,Oval,13873,16.56,7,1,12
00AYGL,Prince's,12575,16.25,6,1,11
00AYGM,St. Leonard's,13423,15.51,6,1,12
00AYGN,Stockwell,14491,15.91,7,1,13
00AYGP,Streatham Hill,14372,15.45,7,1,13
00AYGQ,Streatham South,14335,15.22,7,1,13
00AYGR,Streatham Wells,14093,15.39,7,1,12
00AYGS,Thornton,13426,15.53,6,1,12
00AYGT,Thurlow Park,12497,15.54,6,1,11
00AYGU,Tulse Hill,14389,15.53,7,1,13
00AYGW,Vassall,14191,15.79,7,1,13
00AZGD,Bellingham,14360,15.05,8,1,15
00AZGE,Blackheath,14048,15.5,8,1,15
00AZGF,Brockley,15709,15.69,9,2,17
00AZGG,Catford South,14790,15.03,8,1,16
00AZGH,Crofton Park,14753,15.35,8,1,16
00AZGJ,Downham,15016,14.97,9,2,16
00AZGK,Evelyn,16772,15.57,10,2,18
00AZGL,Forest Hill,14962,15.27,9,2,16
00AZGM,Grove Park,14827,14.98,8,1,16
00AZGN,Ladywell,13210,15.28,8,1,14
00AZGP,Lee Green,12777,15.18,7,1,14
00AZGQ,Lewisham Central,15978,15.49,9,2,17
00AZGR,New Cross,16617,15.63,9,2,18
00AZGS,Perry Vale,15386,15.16,9,2,16
00AZGT,Rushey Green,14261,15.39,8,1,15
00AZGU,Sydenham,16215,15.15,9,2,17
00AZGW,Telegraph Hill,15331,15.52,9,2,16
00AZGX,Whitefoot,14008,15.07,8,1,15
00BAFX,Abbey,10866,15.38,6,1,11
00BAFY,Cannon Hill,9347,14.96,5,1,9
00BAFZ,Colliers Wood,11222,15.34,6,1,11
00BAGA,Cricket Green,10633,15.3,6,1,11
00BAGB,Dundonald,9412,15.3,5,1,10
00BAGC,Figge's Marsh,10344,15.45,6,1,11
00BAGD,Graveney,9758,15.15,5,1,10
00BAGE,Hillside,9590,15.16,5,1,10
00BAGF,Lavender Fields,10165,15.21,6,1,10
00BAGG,Longthornton,10086,15.1,5,1,10
00BAGH,Lower Morden,8675,14.93,5,1,9
00BAGJ,Merton Park,9694,15.23,5,1,10
00BAGK,Pollards Hill,10260,15.17,6,1,10
00BAGL,Ravensbury,9808,15.35,5,1,10
00BAGM,Raynes Park,9887,15.13,5,1,10
00BAGN,St. Helier,9460,15.02,5,1,10
00BAGP,Trinity,9217,15.13,5,1,9
00BAGQ,Village,9418,15,5,1,10
00BAGR,West Barnes,9791,15.1,5,1,10
00BAGS,Wimbledon Park,10435,15.3,6,1,11
00BBGB,Beckton,14388,15.28,7,1,13
00BBGC,Boleyn,12487,15.15,6,1,11
00BBGD,Canning Town North,12439,15.52,6,1,11
00BBGE,Canning Town South,13629,15.88,6,1,12
00BBGF,Custom House,12184,15.6,6,1,11
00BBGG,East Ham Central,12436,15.3,6,1,11
00BBGH,East Ham North,11592,15.12,5,1,10
00BBGJ,East Ham South,12848,15.79,6,1,11
00BBGK,Forest Gate North,13741,15.29,6,1,12
00BBGL,Forest Gate South,15786,15.42,7,1,14
00BBGM,Green Street East,13696,15.28,6,1,12
00BBGN,Green Street West,13110,15.27,6,1,11
00BBGP,Little Ilford,13761,15.24,6,1,12
00BBGQ,Manor Park,12841,15.21,6,1,11
00BBGR,Plaistow North,13777,15.35,6,1,12
00BBGS,Plaistow South,12081,15.59,6,1,11
00BBGT,Royal Docks,8428,15.39,4,1,7
00BBGU,Stratford and New Town,16367,15.76,8,1,14
00BBGW,Wall End,13103,15.46,6,1,11
00BBGX,West Ham,12997,15.47,6,1,11
00BCFY,Aldborough,12568,14.75,8,1,14
00BCFZ,Barkingside,11815,15.12,7,1,14
00BCGA,Bridge,11517,14.99,7,1,13
00BCGB,Chadwell,12100,15.01,7,1,14
00BCGC,Church End,11159,15.48,7,1,13
00BCGD,Clayhall,12134,15.22,7,1,14
00BCGE,Clementswood,12248,15.22,8,1,14
00BCGF,Cranbrook,12135,15.37,7,1,14
00BCGG,Fairlop,12051,14.73,7,1,14
00BCGH,Fullwell,12087,14.85,7,1,14
00BCGJ,Goodmayes,11424,15.02,7,1,13
00BCGK,Hainault,11615,14.55,7,1,13
00BCGL,Loxford,15026,15.44,9,2,17
00BCGM,Mayfield,11474,14.91,7,1,13
00BCGN,Monkhams,10089,14.86,6,1,12
00BCGP,Newbury,13839,15.18,8,2,16
00BCGQ,Roding,11066,15.75,7,1,13
00BCGR,Seven Kings,12692,15.06,8,1,15
00BCGS,Snaresbrook,11208,15.33,7,1,13
00BCGT,Valentines,12502,15.2,8,1,14
00BCGU,Wanstead,11804,15.3,7,1,14
00BDFW,Barnes,10277,15.28,5,1,10
00BDFX,East Sheen,10260,15,5,1,10
00BDFY,Fulwell and Hampton Hill,10104,15.02,5,1,10
00BDFZ,Ham Petersham & Richmond Riversi,10131,14.89,5,1,10
00BDGA,Hampton,10060,14.81,5,1,10
00BDGB,Hampton North,9673,14.83,5,1,10
00BDGC,Hampton Wick,10194,14.83,5,1,10
00BDGD,Heathfield,9950,15.03,5,1,10
00BDGE,Kew,11179,15.19,6,1,11
00BDGF,Mortlake and Barnes Common,10624,15.37,6,1,11
00BDGG,North Richmond,10325,15.2,6,1,10
00BDGH,St. Margarets & North Twickenham,10686,15.33,6,1,11
00BDGJ,South Richmond,10906,15.13,6,1,11
00BDGK,South Twickenham,9478,14.97,5,1,9
00BDGL,Teddington,10487,14.81,6,1,10
00BDGM,Twickenham Riverside,10211,15.05,5,1,10
00BDGN,West Twickenham,10328,15,6,1,10
00BDGP,Whitton,9646,15.07,5,1,10
00BEGC,Brunswick Park,12281,15.82,6,1,11
00BEGD,Camberwell Green,13928,15.97,7,1,13
00BEGE,Cathedrals,15723,16.61,8,1,14
00BEGF,Chaucer,15934,16.52,8,1,15
00BEGG,College,11303,15.27,6,1,10
00BEGH,East Dulwich,11947,15.41,6,1,11
00BEGJ,East Walworth,13100,16.14,6,1,12
00BEGK,Faraday,13570,15.79,7,1,12
00BEGL,Grange,14559,16.06,7,1,13
00BEGM,Livesey,13699,15.71,7,1,13
00BEGN,Newington,14277,15.93,7,1,13
00BEGP,Nunhead,12030,15.45,6,1,11
00BEGQ,Peckham,11842,15.66,6,1,11
00BEGR,Peckham Rye,12912,15.29,6,1,12
00BEGS,Riverside,13354,16,7,1,12
00BEGT,Rotherhithe,13022,15.72,6,1,12
00BEGU,South Bermondsey,12809,15.99,6,1,12
00BEGW,South Camberwell,12313,15.5,6,1,11
00BEGX,Surrey Docks,12719,15.35,6,1,12
00BEGY,The Lane,14420,15.67,7,1,13
00BEGZ,Village,11096,15.44,5,1,10
00BFGC,Beddington North,9938,15.04,7,1,12
00BFGD,Beddington South,10364,14.85,7,1,13
